timestamp,age,primary_streaming_service,hours_per_day,while_working,instrumentalist,composer,fav_genre,exploratory,foreign_languages,bpm,frequency_classical,frequency_country,frequency_edm,frequency_folk,frequency_gospel,frequency_hip_hop,frequency_jazz,frequency_k_pop,frequency_latin,frequency_lofi,frequency_metal,frequency_pop,frequency_r&b,frequency_rap,frequency_rock,frequency_video_game_music,anxiety,depression,insomnia,ocd,music_effects,permissions,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,combined_text,text_length,word_count,target_anxiety,target_depression,target_insomnia,target_ocd,overall_distress_score,target_overall_distress
8/28/2022 21:30:33,35.0,Spotify,1.0,Yes,No,No,pop,Yes,Yes,81.0,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Very frequently,Rarely,Rarely,Sometimes,Rarely,2.0,1.0,1.0,1.0,No effect,I understand.,pop,0.5443123519761783,0.6190320966280208,-8.227908104605799,0.0691245771240298,0.3029846102011332,0.0566727526286549,0.2129062585643585,0.507397213912516,121.73173548022444,224062.0204993176,18.82712747625415,pop Spotify Yes No No Yes Yes No effect I understand.,53,11,0,0,0,0,1.25,0
8/28/2022 23:04:08,18.0,Spotify,2.0,Yes,Yes,Yes,rock,Yes,No,,Never,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Rarely,Very frequently,Never,6.0,7.0,4.0,3.0,Improve,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock Spotify Yes Yes Yes Yes No Improve I understand.,53,10,1,1,0,0,5.0,1
9/4/2022 20:38:17,29.0,Spotify,4.0,Yes,No,No,classical,Yes,No,120.0,Very frequently,Never,Very frequently,Never,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Sometimes,Never,Never,Rarely,Rarely,5.0,6.0,7.0,7.0,No effect,I understand.,classical,0.448560264519839,0.4091773193953832,-11.705486568635504,0.0782269202333032,0.6149209882913005,0.0877842059566253,0.205567641501684,0.3908087899449602,114.97459804485337,219642.21859853776,17.554095128563215,classical Spotify Yes No No Yes No No effect I understand.,58,11,1,1,1,1,6.25,1
8/28/2022 19:29:25,18.0,Spotify,2.0,Yes,No,No,r&b,No,Yes,164.0,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Very frequently,Very frequently,Rarely,Never,Never,5.0,6.0,0.0,1.0,No effect,I understand.,r&b,0.6237667264147493,0.5854382752313714,-8.214100632841935,0.0905580897684456,0.3012903824051651,0.0236310544189194,0.1953804499396422,0.5548403080074624,115.20872882905952,247254.4549511651,21.32370047920401,r&b Spotify Yes No No No Yes No effect I understand.,52,11,1,1,0,0,3.0,0
9/7/2022 9:16:47,24.0,Spotify,10.0,Yes,No,No,rock,Yes,Yes,180.0,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Sometimes,Sometimes,Never,Never,Very frequently,Sometimes,7.0,9.0,10.0,0.0,Improve,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock Spotify Yes No No Yes Yes Improve I understand.,52,10,1,1,1,0,6.5,1
8/28/2022 18:30:21,21.0,Spotify,3.0,Yes,No,No,pop,Yes,Yes,136.0,Rarely,Very frequently,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,6.0,8.0,6.0,0.0,Worsen,I understand.,pop,0.5443123519761783,0.6190320966280208,-8.227908104605799,0.0691245771240298,0.3029846102011332,0.0566727526286549,0.2129062585643585,0.507397213912516,121.73173548022444,224062.0204993176,18.82712747625415,pop Spotify Yes No No Yes Yes Worsen I understand.,50,10,1,1,1,0,5.0,1
9/2/2022 16:14:44,20.0,YouTube Music,1.0,Yes,No,No,pop,No,Yes,120.0,Never,Never,Sometimes,Never,Never,Rarely,Sometimes,Very frequently,Rarely,Rarely,Never,Very frequently,Sometimes,Rarely,Rarely,Never,8.0,6.0,9.0,8.0,Improve,I understand.,pop,0.5443123519761783,0.6190320966280208,-8.227908104605799,0.0691245771240298,0.3029846102011332,0.0566727526286549,0.2129062585643585,0.507397213912516,121.73173548022444,224062.0204993176,18.82712747625415,pop YouTube Music Yes No No No Yes Improve I understand.,56,11,1,1,1,1,7.75,1
8/29/2022 8:39:19,21.0,I do not use a streaming service.,10.0,Yes,No,No,pop,Yes,No,112.0,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,9.0,7.0,5.0,5.0,Improve,I understand.,pop,0.5443123519761783,0.6190320966280208,-8.227908104605799,0.0691245771240298,0.3029846102011332,0.0566727526286549,0.2129062585643585,0.507397213912516,121.73173548022444,224062.0204993176,18.82712747625415,pop I do not use a streaming service. Yes No No Yes No Improve I understand.,76,16,1,1,1,1,6.5,1
8/28/2022 20:57:57,28.0,YouTube Music,2.0,Yes,No,No,rock,Yes,No,172.0,Never,Rarely,Rarely,Rarely,Never,Sometimes,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Rarely,10.0,8.0,6.0,2.0,Improve,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock YouTube Music Yes No No Yes No Improve I understand.,57,11,1,1,1,0,6.5,1
11/4/2022 17:31:47,19.0,Spotify,5.0,Yes,Yes,No,classical,No,No,170.0,Very frequently,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,2.0,3.0,2.0,1.0,Improve,I understand.,classical,0.448560264519839,0.4091773193953832,-11.705486568635504,0.0782269202333032,0.6149209882913005,0.0877842059566253,0.205567641501684,0.3908087899449602,114.97459804485337,219642.21859853776,17.554095128563215,classical Spotify Yes Yes No No No Improve I understand.,56,10,0,0,0,0,2.0,0
